DESTINATION,COMMERCIAL FLAG,CITY,REGION,COUNTRY,FLIGH DIRECTION,FLIGHT TYPE,DATE,DATE YEAR,DATE HALF YEAR,DATE YEAR QUARTER,DATE YEAR MONTH,NBR OF PASSENGERS,CARGO WEIGHT,NBR OF FLIGHTS,SEAT CAPACITY
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,1/1/2007,2007,2007H1,2007Q1,200701,376,0,3,540
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,10/1/2007,2007,2007H2,2007Q4,200710,636,0,5,686
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,6/1/2008,2008,2008H1,2008Q2,200806,88,0,1,112
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,11/1/2007,2007,2007H2,2007Q4,200711,179,0,1,180
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,9/1/2008,2008,2008H2,2008Q3,200809,316,0,4,484
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,7/1/2009,2009,2009H2,2009Q3,200907,627,0,4,672
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,8/1/2009,2009,2009H2,2009Q3,200908,657,0,4,672
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,9/1/2009,2009,2009H2,2009Q3,200909,267,0,2,368
Agadir,Commercial,Agadir,,Morocco,Incoming,Scheduled,9/1/2007,2007,2007H2,2007Q3,200709,90,0,1,112
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,3/1/2012,2012,2012H1,2012Q1,201203,145,0,1,180
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,11/1/2007,2007,2007H2,2007Q4,200711,0,0,1,180
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,8/1/2008,2008,2008H2,2008Q3,200808,411,0,5,557
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,8/1/2009,2009,2009H2,2009Q3,200908,281,0,2,336
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,8/1/2010,2010,2010H2,2010Q3,201008,164,0,1,180
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,10/1/2007,2007,2007H2,2007Q4,200710,569,0,5,686
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,9/1/2007,2007,2007H2,2007Q3,200709,284,0,3,306
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,8/1/2008,2008,2008H2,2008Q3,200808,418,0,5,557
Agadir,Commercial,Agadir,,Morocco,Incoming,Scheduled,1/1/2007,2007,2007H1,2007Q1,200701,124,0,1,180
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,10/1/2011,2011,2011H2,2011Q4,201110,160,0,1,168
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,2/1/2007,2007,2007H1,2007Q1,200702,0,0,1,183
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,9/1/2008,2008,2008H2,2008Q3,200809,337,0,4,484
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,11/1/2008,2008,2008H2,2008Q4,200811,0,0,1,180
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,7/1/2008,2008,2008H2,2008Q3,200807,330,0,4,514
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,10/1/2008,2008,2008H2,2008Q4,200810,517,0,4,598
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,10/1/2010,2010,2010H2,2010Q4,201010,707,0,5,840
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,7/1/2010,2010,2010H2,2010Q3,201007,164,0,1,168
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,6/1/2007,2007,2007H1,2007Q2,200706,0,0,1,119
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,2/1/2007,2007,2007H1,2007Q1,200702,169,0,1,183
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,8/1/2007,2007,2007H2,2007Q3,200708,373,0,4,418
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,11/1/2008,2008,2008H2,2008Q4,200811,179,0,1,180
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,7/1/2008,2008,2008H2,2008Q3,200807,324,0,4,514
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,7/1/2010,2010,2010H2,2010Q3,201007,660,0,4,720
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,10/1/2010,2010,2010H2,2010Q4,201010,735,0,5,840
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,7/1/2011,2011,2011H2,2011Q3,201107,325,0,2,360
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,9/1/2007,2007,2007H2,2007Q3,200709,277,0,3,306
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,9/1/2009,2009,2009H2,2009Q3,200909,252,0,2,368
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,7/1/2007,2007,2007H2,2007Q3,200707,263,0,3,326
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,6/1/2008,2008,2008H1,2008Q2,200806,0,0,1,112
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,10/1/2009,2009,2009H2,2009Q4,200910,461,0,4,736
Agadir,Commercial,Agadir,,Morocco,Outgoing,Scheduled,1/1/2007,2007,2007H1,2007Q1,200701,137,0,1,183
Agadir,Commercial,Agadir,,Morocco,Incoming,Scheduled,7/1/2007,2007,2007H2,2007Q3,200707,198,0,2,214
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,8/1/2011,2011,2011H2,2011Q3,201108,660,0,4,720
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,6/1/2007,2007,2007H1,2007Q2,200706,102,0,1,119
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,8/1/2007,2007,2007H2,2007Q3,200708,283,0,3,306
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,9/1/2010,2010,2010H2,2010Q3,201009,375,0,3,504
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,9/1/2011,2011,2011H2,2011Q3,201109,574,0,4,720
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,7/1/2011,2011,2011H2,2011Q3,201107,506,0,3,540
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,10/1/2008,2008,2008H2,2008Q4,200810,447,0,4,598
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,7/1/2007,2007,2007H2,2007Q3,200707,277,0,3,326
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,10/1/2009,2009,2009H2,2009Q4,200910,501,0,5,920
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,7/1/2009,2009,2009H2,2009Q3,200907,212,0,2,336
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,1/1/2007,2007,2007H1,2007Q1,200701,159,0,1,183
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,11/1/2010,2010,2010H2,2010Q4,201011,163,0,1,180
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,9/1/2010,2010,2010H2,2010Q3,201009,508,0,4,672
Agadir,Commercial,Agadir,,Morocco,Outgoing,Scheduled,9/1/2007,2007,2007H2,2007Q3,200709,100,0,1,112
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,6/1/2009,2009,2009H1,2009Q2,200906,176,0,1,176
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,11/1/2010,2010,2010H2,2010Q4,201011,0,0,1,180
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,10/1/2011,2011,2011H2,2011Q4,201110,313,0,2,336
Agadir,Commercial,Agadir,,Morocco,Outgoing,Scheduled,7/1/2007,2007,2007H2,2007Q3,200707,195,0,2,214
Ahmedabad,Commercial,Ahmedabad,India VA,India,Incoming,Non Scheduled,1/1/2007,2007,2007H1,2007Q1,200701,0,0,1,189
Ai Udeid,Commercial,Ai Udeid,,Katar,Incoming,Non Scheduled,10/1/2008,2008,2008H2,2008Q4,200810,0,0,2,490
Ai Udeid,Commercial,Ai Udeid,,Katar,Outgoing,Non Scheduled,5/1/2008,2008,2008H1,2008Q2,200805,0,0,2,0
Ai Udeid,Commercial,Ai Udeid,,Katar,Outgoing,Non Scheduled,11/1/2008,2008,2008H2,2008Q4,200811,0,0,2,0
Ai Udeid,Commercial,Ai Udeid,,Katar,Incoming,Non Scheduled,12/1/2008,2008,2008H2,2008Q4,200812,0,0,2,0
Ai Udeid,Commercial,Ai Udeid,,Katar,Incoming,Non Scheduled,7/1/2008,2008,2008H2,2008Q3,200807,0,0,1,0
Ai Udeid,Commercial,Ai Udeid,,Katar,Outgoing,Non Scheduled,10/1/2008,2008,2008H2,2008Q4,200810,0,0,2,490
Ai Udeid,Commercial,Ai Udeid,,Katar,Incoming,Non Scheduled,8/1/2008,2008,2008H2,2008Q3,200808,0,0,3,0
Ai Udeid,Commercial,Ai Udeid,,Katar,Incoming,Non Scheduled,9/1/2008,2008,2008H2,2008Q3,200809,0,0,5,0
Ai Udeid,Commercial,Ai Udeid,,Katar,Outgoing,Non Scheduled,6/1/2008,2008,2008H1,2008Q2,200806,0,0,1,0
Ai Udeid,Commercial,Ai Udeid,,Katar,Outgoing,Non Scheduled,8/1/2008,2008,2008H2,2008Q3,200808,0,0,1,0
Ai Udeid,Commercial,Ai Udeid,,Katar,Incoming,Non Scheduled,5/1/2008,2008,2008H1,2008Q2,200805,0,0,1,0
Ai Udeid,Commercial,Ai Udeid,,Katar,Outgoing,Non Scheduled,12/1/2008,2008,2008H2,2008Q4,200812,0,0,1,0
Ai Udeid,Commercial,Ai Udeid,,Katar,Outgoing,Non Scheduled,7/1/2008,2008,2008H2,2008Q3,200807,0,0,3,0
Ai Udeid,Commercial,Ai Udeid,,Katar,Outgoing,Non Scheduled,9/1/2008,2008,2008H2,2008Q3,200809,0,0,7,0
Akita,Commercial,Akita,Japan RJ,Japan,Incoming,Non Scheduled,7/1/2007,2007,2007H2,2007Q3,200707,110,0,1,185
Akita,Commercial,Akita,Japan RJ,Japan,Outgoing,Non Scheduled,10/1/2007,2007,2007H2,2007Q4,200710,160,0,1,185
Akita,Commercial,Akita,Japan RJ,Japan,Outgoing,Scheduled,7/1/2007,2007,2007H2,2007Q3,200707,180,0,1,185
Akita,Commercial,Akita,Japan RJ,Japan,Incoming,Non Scheduled,10/1/2007,2007,2007H2,2007Q4,200710,92,0,1,185
Aktyubinsk,Commercial,Aktyubinsk,,Kazahstan,Incoming,Non Scheduled,7/1/2011,2011,2011H2,2011Q3,201107,58,0,1,100
Aktyubinsk,Commercial,Aktyubinsk,,Kazahstan,Outgoing,Non Scheduled,7/1/2011,2011,2011H2,2011Q3,201107,58,0,1,100
Alderney Blaye,Commercial,Alderney Blaye,,United Kingdom,Outgoing,Non Scheduled,7/1/2010,2010,2010H2,2010Q3,201007,0,0,1,0
Alesund,Commercial,Alesund,,Norway,Incoming,Non Scheduled,7/1/2011,2011,2011H2,2011Q3,201107,73,0,1,140
Alesund,Commercial,Alesund,,Norway,Outgoing,Non Scheduled,7/1/2011,2011,2011H2,2011Q3,201107,74,0,1,100
Alexandropolis,Commercial,Alexandropolis,,Greece,Outgoing,Non Scheduled,9/1/2007,2007,2007H2,2007Q3,200709,0,0,1,170
Alexandropolis,Commercial,Alexandropolis,,Greece,Incoming,Non Scheduled,11/1/2008,2008,2008H2,2008Q4,200811,0,0,1,189
Al-Fujairah,Commercial,Al-Fujairah,,United Arab Emirates,Outgoing,Non Scheduled,8/1/2008,2008,2008H2,2008Q3,200808,0,0,1,0
Al-Fujairah,Commercial,Al-Fujairah,,United Arab Emirates,Incoming,Non Scheduled,8/1/2008,2008,2008H2,2008Q3,200808,0,0,2,0
Al-Fujairah,Commercial,Al-Fujairah,,United Arab Emirates,Incoming,Non Scheduled,10/1/2009,2009,2009H2,2009Q4,200910,0,0,1,211
Alghero,Commercial,Alghero,,Italy,Incoming,Non Scheduled,6/1/2009,2009,2009H1,2009Q2,200906,0,0,1,0
Alghero,Commercial,Alghero,,Italy,Incoming,Non Scheduled,7/1/2011,2011,2011H2,2011Q3,201107,0,0,1,0
Alghero,Commercial,Alghero,,Italy,Outgoing,Non Scheduled,9/1/2008,2008,2008H2,2008Q3,200809,0,0,1,0
Alghero,Commercial,Alghero,,Italy,Outgoing,Non Scheduled,8/1/2008,2008,2008H2,2008Q3,200808,0,0,1,0
Alghero,Commercial,Alghero,,Italy,Incoming,Non Scheduled,10/1/2010,2010,2010H2,2010Q4,201010,0,0,1,0
Alicante,Commercial,Alicante,Spain LE,Spain,Incoming,Scheduled,4/1/2012,2012,2012H1,2012Q2,201204,"1,192",0,9,"1,701"
Alicante,Commercial,Alicante,Spain LE,Spain,Incoming,Scheduled,6/1/2012,2012,2012H1,2012Q2,201206,"1,271",0,9,"1,701"
Alicante,Commercial,Alicante,Spain LE,Spain,Outgoing,Scheduled,6/1/2012,2012,2012H1,2012Q2,201206,"1,437",0,9,"1,701"
Alicante,Commercial,Alicante,Spain LE,Spain,Outgoing,Non Scheduled,5/1/2012,2012,2012H1,2012Q2,201205,49,0,1,50
Alicante,Commercial,Alicante,Spain LE,Spain,Outgoing,Scheduled,3/1/2012,2012,2012H1,2012Q1,201203,151,0,2,378
Alicante,Commercial,Alicante,Spain LE,Spain,Outgoing,Non Scheduled,5/1/2011,2011,2011H1,2011Q2,201105,96,0,1,121
Alicante,Commercial,Alicante,Spain LE,Spain,Incoming,Non Scheduled,5/1/2011,2011,2011H1,2011Q2,201105,96,0,1,121
Alicante,Commercial,Alicante,Spain LE,Spain,Incoming,Non Scheduled,5/1/2012,2012,2012H1,2012Q2,201205,49,0,1,50
Alicante,Commercial,Alicante,Spain LE,Spain,Outgoing,Scheduled,4/1/2012,2012,2012H1,2012Q2,201204,"1,300",0,9,"1,701"
Alicante,Commercial,Alicante,Spain LE,Spain,Incoming,Scheduled,5/1/2012,2012,2012H1,2012Q2,201205,"1,018",0,8,"1,512"
Alicante,Commercial,Alicante,Spain LE,Spain,Outgoing,Non Scheduled,3/1/2008,2008,2008H1,2008Q1,200803,161,0,1,170
Alicante,Commercial,Alicante,Spain LE,Spain,Incoming,Non Scheduled,3/1/2008,2008,2008H1,2008Q1,200803,160,0,1,189
Alicante,Commercial,Alicante,Spain LE,Spain,Outgoing,Scheduled,5/1/2012,2012,2012H1,2012Q2,201205,"1,099",0,8,"1,512"
Alicante,Commercial,Alicante,Spain LE,Spain,Incoming,Scheduled,3/1/2012,2012,2012H1,2012Q1,201203,157,0,3,567
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Scheduled,12/1/2007,2007,2007H2,2007Q4,200712,0,"75,877",1,121
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Scheduled,9/1/2008,2008,2008H2,2008Q3,200809,0,"64,973",1,0
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Scheduled,1/1/2011,2011,2011H1,2011Q1,201101,0,"240,980",15,0
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Non Scheduled,12/1/2010,2010,2010H2,2010Q4,201012,0,"167,969",3,0
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Non Scheduled,5/1/2010,2010,2010H1,2010Q2,201005,0,"84,571",3,0
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Scheduled,8/1/2008,2008,2008H2,2008Q3,200808,0,"84,641",1,0
Almaty,Commercial,Almaty,,Kazahstan,Outgoing,Scheduled,6/1/2010,2010,2010H1,2010Q2,201006,0,0,1,0
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Scheduled,4/1/2008,2008,2008H1,2008Q2,200804,0,"219,163",3,0
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Scheduled,7/1/2010,2010,2010H2,2010Q3,201007,0,"57,455",2,0
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Non Scheduled,6/1/2011,2011,2011H1,2011Q2,201106,0,0,1,0
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Non Scheduled,3/1/2011,2011,2011H1,2011Q1,201103,0,0,1,0
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Scheduled,2/1/2011,2011,2011H1,2011Q1,201102,0,"69,393",1,0
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Scheduled,12/1/2008,2008,2008H2,2008Q4,200812,0,"56,446",2,0
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Non Scheduled,5/1/2011,2011,2011H1,2011Q2,201105,0,0,1,0
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Scheduled,6/1/2010,2010,2010H1,2010Q2,201006,0,"163,509",4,0
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Non Scheduled,2/1/2011,2011,2011H1,2011Q1,201102,103,0,1,160
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Non Scheduled,6/1/2010,2010,2010H1,2010Q2,201006,0,0,2,0
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Scheduled,6/1/2008,2008,2008H1,2008Q2,200806,0,"94,592",1,0
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Scheduled,1/1/2009,2009,2009H1,2009Q1,200901,0,"121,544",2,0
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Scheduled,10/1/2010,2010,2010H2,2010Q4,201010,0,0,1,0
Almeria,Commercial,Almeria,Spain LE,Spain,Outgoing,Non Scheduled,3/1/2007,2007,2007H1,2007Q1,200703,106,0,1,145
Almeria,Commercial,Almeria,Spain LE,Spain,Outgoing,Non Scheduled,2/1/2012,2012,2012H1,2012Q1,201202,175,0,1,180
Almeria,Commercial,Almeria,Spain LE,Spain,Outgoing,Non Scheduled,3/1/2011,2011,2011H1,2011Q1,201103,174,0,1,189
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Non Scheduled,11/1/2007,2007,2007H2,2007Q4,200711,0,0,1,0
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,12/1/2011,2011,2011H2,2011Q4,201112,"1,247","8,390",13,"1,549"
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,5/1/2011,2011,2011H1,2011Q2,201105,477,"5,107",10,"1,174"
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,9/1/2007,2007,2007H2,2007Q3,200709,438,0,9,450
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,1/1/2009,2009,2009H1,2009Q1,200901,237,0,8,770
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,7/1/2009,2009,2009H2,2009Q3,200907,918,0,9,"1,111"
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,12/1/2009,2009,2009H2,2009Q4,200912,384,0,6,852
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,5/1/2010,2010,2010H1,2010Q2,201005,531,0,9,"1,135"
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,2/1/2012,2012,2012H1,2012Q1,201202,72,"3,429",1,168
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,8/1/2011,2011,2011H2,2011Q3,201108,"1,559","10,631",18,"2,118"
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,11/1/2008,2008,2008H2,2008Q4,200811,536,0,9,860
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,7/1/2009,2009,2009H2,2009Q3,200907,710,0,9,"1,111"
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,12/1/2009,2009,2009H2,2009Q4,200912,328,0,6,852
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,7/1/2010,2010,2010H2,2010Q3,201007,"1,190",0,14,"1,669"
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,9/1/2010,2010,2010H2,2010Q3,201009,"1,150",0,13,"1,572"
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,5/1/2010,2010,2010H1,2010Q2,201005,679,0,10,"1,303"
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,9/1/2011,2011,2011H2,2011Q3,201109,"1,049","18,909",18,"2,296"
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,6/1/2008,2008,2008H1,2008Q2,200806,630,0,9,900
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,11/1/2008,2008,2008H2,2008Q4,200811,408,0,9,860
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,5/1/2009,2009,2009H1,2009Q2,200905,399,0,10,910
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,8/1/2009,2009,2009H2,2009Q3,200908,452,0,8,896
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,10/1/2009,2009,2009H2,2009Q4,200910,817,0,9,"1,155"
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,4/1/2010,2010,2010H1,2010Q2,201004,496,0,8,"1,203"
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,12/1/2008,2008,2008H2,2008Q4,200812,373,0,9,890
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,6/1/2009,2009,2009H1,2009Q2,200906,306,0,8,872
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,12/1/2010,2010,2010H2,2010Q4,201012,674,0,11,"1,330"
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,1/1/2010,2010,2010H1,2010Q1,201001,426,0,7,858
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,4/1/2008,2008,2008H1,2008Q2,200804,583,0,8,800
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,12/1/2008,2008,2008H2,2008Q4,200812,404,0,9,890
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,11/1/2010,2010,2010H2,2010Q4,201011,864,0,13,"1,678"
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,6/1/2010,2010,2010H1,2010Q2,201006,788,0,12,"1,356"
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,6/1/2011,2011,2011H1,2011Q2,201106,869,"3,567",15,"2,227"
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,3/1/2007,2007,2007H1,2007Q1,200703,26,0,1,190
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,8/1/2008,2008,2008H2,2008Q3,200808,841,0,10,"1,000"
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,11/1/2010,2010,2010H2,2010Q4,201011,"1,178",0,13,"1,725"
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,3/1/2010,2010,2010H1,2010Q1,201003,509,0,9,"1,135"
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,2/1/2010,2010,2010H1,2010Q1,201002,383,0,6,761
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,11/1/2007,2007,2007H2,2007Q4,200711,474,0,9,900
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,2/1/2008,2008,2008H1,2008Q1,200802,353,0,9,900
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,9/1/2009,2009,2009H2,2009Q3,200909,576,0,10,"1,148"
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,9/1/2010,2010,2010H2,2010Q3,201009,751,0,13,"1,560"
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,2/1/2010,2010,2010H1,2010Q1,201002,304,0,6,761
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,9/1/2011,2011,2011H2,2011Q3,201109,"1,372","3,803",17,"2,116"
